Código Departamento|Departamento|Código Entidad|Entidad|Dimensión|Subcategoría|Indicador|Dato Numérico|Dato Cualitativo|Año|Mes|Fuente|Unidad de Medida
01|Colombia|01001|Colombia|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05002|Abejorral|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|8,00||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05004|Abriaquí|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05021|Alejandría|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|2,00||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05030|Amagá|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05031|Amalfi|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|1,00||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05034|Andes|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|10,00||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05036|Angelópolis|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|3,00||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05038|Angostura|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05040|Anorí|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05042|Santafé de Antioquia|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05044|Anzá|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05045|Apartadó|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|20,00||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05051|Arboletes|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|4,00||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05055|Argelia|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|2,00||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05059|Armenia|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05079|Barbosa|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05086|Belmira|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05088|Bello|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|||2023|4|Unidad de Restitución de Tierras|Número
05|Antioquia|05091|Betania|Paz y víctimas|Restitución de tierras|Número de predios con orden de restitución y/o compensación identificados en sentencia de restitución de tierras y territorios|17,00||2023|4|Unidad de Restitución de Tierras|Número
