Código Departamento|Departamento|Código Entidad|Entidad|Dimensión|Subcategoría|Indicador|Dato Numérico|Dato Cualitativo|Año|Mes|Fuente|Unidad de Medida
18|Caquetá|18029|Albania|Pobreza|Indicadores de pobreza|IPM - Cabecera|49,69||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
18|Caquetá|18094|Belén de Los Andaquíes|Pobreza|Indicadores de pobreza|IPM - Cabecera|66,55||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
18|Caquetá|18150|Cartagena del Chairá|Pobreza|Indicadores de pobreza|IPM - Cabecera|82,96||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
18|Caquetá|18205|Curillo|Pobreza|Indicadores de pobreza|IPM - Cabecera|73,36||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
18|Caquetá|18247|El Doncello|Pobreza|Indicadores de pobreza|IPM - Cabecera|64,16||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
18|Caquetá|18256|El Paujil|Pobreza|Indicadores de pobreza|IPM - Cabecera|73,90||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
18|Caquetá|18410|La Montañita|Pobreza|Indicadores de pobreza|IPM - Cabecera|67,30||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
18|Caquetá|18460|Milán|Pobreza|Indicadores de pobreza|IPM - Cabecera|67,49||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
18|Caquetá|18479|Morelia|Pobreza|Indicadores de pobreza|IPM - Cabecera|66,04||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19000|Cauca|Pobreza|Indicadores de pobreza|IPM - Cabecera|47,29||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19001|Popayán|Pobreza|Indicadores de pobreza|IPM - Cabecera|37,30||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19022|Almaguer|Pobreza|Indicadores de pobreza|IPM - Cabecera|63,77||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19050|Argelia|Pobreza|Indicadores de pobreza|IPM - Cabecera|100,00||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19075|Balboa|Pobreza|Indicadores de pobreza|IPM - Cabecera|70,76||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19100|Bolívar|Pobreza|Indicadores de pobreza|IPM - Cabecera|43,15||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19110|Buenos Aires|Pobreza|Indicadores de pobreza|IPM - Cabecera|56,51||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19130|Cajibío|Pobreza|Indicadores de pobreza|IPM - Cabecera|39,67||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19137|Caldono|Pobreza|Indicadores de pobreza|IPM - Cabecera|44,87||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19142|Caloto|Pobreza|Indicadores de pobreza|IPM - Cabecera|43,33||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
